time,temperature_2m,precipitation_probability
2026-08-07T00:00,28.2,0
2026-08-07T01:00,27.2,0
2026-08-07T02:00,26.7,0
2026-08-07T03:00,26.4,0
2026-08-07T04:00,26.0,0
2026-08-07T05:00,25.5,0
2026-08-07T06:00,25.2,0
2026-08-07T07:00,25.4,0
2026-08-07T08:00,26.5,0
2026-08-07T09:00,28.1,0
2026-08-07T10:00,29.8,0
2026-08-07T11:00,31.7,0
2026-08-07T12:00,33.0,0
2026-08-07T13:00,34.1,1
2026-08-07T14:00,34.9,3
2026-08-07T15:00,35.5,6
2026-08-07T16:00,35.9,13
2026-08-07T17:00,35.9,21
2026-08-07T18:00,35.4,24
2026-08-07T19:00,33.9,18
2026-08-07T20:00,32.1,8
2026-08-07T21:00,30.8,0
2026-08-07T22:00,30.0,0
2026-08-07T23:00,29.2,0
2026-08-08T00:00,28.6,0
2026-08-08T01:00,28.0,0
2026-08-08T02:00,27.5,0
2026-08-08T03:00,27.2,0
2026-08-08T04:00,27.0,0
2026-08-08T05:00,26.9,0
2026-08-08T06:00,26.7,0
2026-08-08T07:00,27.0,0
2026-08-08T08:00,28.0,0
2026-08-08T09:00,29.5,0
2026-08-08T10:00,31.1,2
2026-08-08T11:00,32.4,6
2026-08-08T12:00,33.3,16
2026-08-08T13:00,31.9,40
2026-08-08T14:00,30.9,71
2026-08-08T15:00,30.3,92
2026-08-08T16:00,29.4,97
2026-08-08T17:00,28.6,93
2026-08-08T18:00,27.7,82
2026-08-08T19:00,26.6,63
2026-08-08T20:00,25.8,38
2026-08-08T21:00,25.5,18
2026-08-08T22:00,25.3,8
2026-08-08T23:00,25.2,4
2026-08-09T00:00,25.2,2
2026-08-09T01:00,25.1,1
2026-08-09T02:00,25.0,3
2026-08-09T03:00,24.8,4
2026-08-09T04:00,24.6,5
2026-08-09T05:00,24.5,7
2026-08-09T06:00,24.5,8
2026-08-09T07:00,24.9,9
2026-08-09T08:00,25.5,9
2026-08-09T09:00,26.5,8
2026-08-09T10:00,27.3,6
2026-08-09T11:00,27.9,3
2026-08-09T12:00,28.7,2
2026-08-09T13:00,29.9,6
2026-08-09T14:00,31.0,13
2026-08-09T15:00,31.4,18
2026-08-09T16:00,31.7,21
2026-08-09T17:00,30.5,21
2026-08-09T18:00,29.1,20
2026-08-09T19:00,27.4,14
2026-08-09T20:00,26.1,6
2026-08-09T21:00,25.0,0
2026-08-09T22:00,24.2,0
2026-08-09T23:00,23.6,0
